MAXTHREADS,Time (In Nanoseconds)
1,2838461
2,11114364
3,7111637
4,8944963
5,12111134
6,11660736
7,11197426
8,10975704
9,10901601
10,12229242
11,12639822
12,11390002
13,11174387
14,11206307
15,11056956
16,11472092
17,10400501
18,10766264
19,12603397
20,11286277
21,11704834
22,11372635
23,11207755
24,11028007
25,12002433
26,12176406
27,11833144
28,12407803
29,12625833
30,11471076
31,12147080
32,10994062
33,12534171
34,11930037
35,11579317
36,11923305
37,11727667
38,11908247
39,12430697
40,12253887
41,12171274
42,11974825
43,12244412
44,13505023
45,13014461
46,11935863
47,13079385
48,13166785
49,13783555
50,11880343
51,12771366
52,12690542
53,12208832
54,11764021
55,12016757
56,12615823
57,12750077
58,13464185
59,12573483
60,12888094
61,12541577
62,13318482
63,13520334
64,13440155
65,15216415
66,13167328
67,13450488
68,12200306
69,13782254
70,12790136
71,13536141
72,13729737
73,13612094
74,12918873
75,13543421
76,14075973
77,14890414
78,13711555
79,13963487
80,14179346
81,14540856
82,13652504
83,16096220
84,14313311
85,13090529
86,13954048
87,13992051
88,13806411
89,13388964
90,14031979
91,14301952
92,15362751
93,14300304
94,14227720
95,14983138
96,14102489
97,21102455
98,15772275
99,15414877
100,20527336
101,24181738
102,17013028
103,16487636
104,15440765
105,22411825
106,15080192
107,25143016
108,16269897
109,14677264
110,15396188
111,14156002
112,17060847
113,16019536
114,15038041
115,15376842
116,15338943
117,14831766
118,15102184
119,16129199
120,14735192
121,15801018
122,15145656
123,15529179
124,15749875
125,16928948
126,15864413
127,17395540
128,15710476
129,15483914
130,16105918
131,15498687
132,20006549
133,17893004
134,15202649
135,16272074
136,15870693
137,15912936
138,15241904
139,15603816
140,17416453
141,15863505
142,17222473
143,16363959
144,16296767
145,16246159
146,16650134
147,16023284
148,15810050
149,16227328
150,16054663
151,17048050
152,16687029
153,17900115
154,15847514
155,16586214
156,16374386
157,19211810
158,17807411
159,16968301
160,16176063
161,16635025
162,15820583
163,16039787
164,17980678
165,18823230
166,17786778
167,18380567
168,16852240
169,18242486
170,17968052
171,16587949
172,19928886
173,17591067
174,19030894
175,17206891
176,17420251
177,17318067
178,19005121
179,18247282
180,18016637
181,18408598
182,19092873
183,18251121
184,18594668
185,18900422
186,19260768
187,22042547
188,23133343
189,17976021
190,17420372
191,23464008
192,19838214
193,18648755
194,21746729
195,18700737
196,18065555
197,18252521
198,19011984
199,19730033
200,18157562
201,19621347
202,21628946
203,18082525
204,18314735
205,18303480
206,17896278
207,18350139
208,17991087
209,18205737
210,18577586
211,19776589
212,18685406
213,18334881
214,18008881
215,19590942
216,19943182
217,22649783
218,18736396
219,19283474
220,19755657
221,18256722
222,18183360
223,18210004
224,18582595
225,18084216
226,18245790
227,19153451
228,19220858
229,18848496
230,19690214
231,20391885
232,23123817
233,19666197
234,18999566
235,19519507
236,19187546
237,20144611
238,19612186
239,18574774
240,18019655
241,18748190
242,17936153
243,20530530
244,20156585
245,19828140
246,19470844
247,23614753
248,20526428
249,20557393
250,21225592
251,21780698
252,20496644
253,25428019
254,20308526
255,21224128
256,18889981
257,19879157
258,20526931
259,19652828
260,22465583
