MAXTHREADS,Time (In Nanoseconds)
261,20830952
262,21116670
263,20846519
264,21102066
265,19836879
266,20406121
267,22711449
268,26768583
269,25314425
270,23011884
271,22452493
272,24694605
273,21058697
274,20759222
275,21947427
276,25966172
277,19720296
278,21522314
279,20670151
280,27165891
281,22933251
282,22353543
283,25018209
284,19404795
285,20405684
286,19692756
287,19231986
288,20356619
289,20284452
290,18924397
291,27142658
292,24964510
293,20941281
294,20545276
295,20567023
296,20475393
297,20214714
298,19967238
299,19408230
300,19893414
301,20082543
302,20449258
303,23144367
304,20079966
305,19963619
306,27167517
307,20275427
308,20724562
309,23411269
310,22485594
311,23005377
312,21377030
313,21607568
314,20110943
315,21518756
316,31832485
317,22020149
318,22143112
319,24292300
320,25648442
321,19640570
322,19586617
323,20408373
324,20114727
325,21012393
326,22025757
327,19586530
328,20130871
329,22096824
330,19982222
331,22028266
332,22623660
333,23727480
334,30311379
335,24397245
336,23639687
337,20313077
338,19777002
339,24395168
340,20715698
341,22251244
342,20358684
343,21857196
344,21734120
345,22536465
346,22046508
347,20140895
348,31304804
349,22563393
350,20846765
351,20393906
352,20947612
353,22450527
354,20012304
355,20938107
356,21132952
357,20302932
358,21259192
359,21709099
360,20735809
361,20108107
362,21241172
363,26794404
364,21274619
365,21244495
366,22528499
367,20411815
368,20869142
369,21240491
370,21511737
371,20530895
372,21187719
373,21543013
374,21414143
375,23018765
376,22783221
377,26248205
378,20729904
379,23835217
380,21893580
381,21441686
382,23109524
383,23661670
384,21106549
385,21118568
386,24371871
387,22148771
388,23226216
389,21352756
390,20668900
391,26858390
392,19822429
393,20385656
394,21237791
395,23005264
396,23062330
397,21629709
398,21305420
399,21233983
400,20806494
401,22349600
402,24507676
403,23442762
404,21996156
405,33757501
406,25547263
407,25037933
408,24796399
409,25643863
410,22532496
411,23767616
412,21304775
413,23079893
414,21826972
415,21640240
416,24016245
417,22056033
418,23986182
419,25944691
420,21302900
421,21898598
422,22511384
423,21957473
424,21917276
425,22985717
426,21744427
427,21233539
428,26471384
429,20736748
430,21289354
431,22950264
432,23094696
433,28589846
434,24740046
435,21720120
436,21091126
437,21585934
438,23884317
439,23569916
440,21073865
441,21913537
442,21152741
443,24276416
444,21360830
445,22938261
446,22648639
447,27255555
448,21439523
449,21779829
450,20710272
451,22745368
452,20720028
453,21483245
454,24195653
455,25095703
456,25535397
457,20803244
458,21847107
459,22916507
460,23846384
461,26080659
462,22050867
463,23234282
464,21739051
465,21780780
466,22351326
467,25273380
468,24428876
469,23920315
470,22023945
471,22930372
472,23731845
473,24230049
474,24088755
475,26290199
476,21484794
477,21123450
478,21905485
479,22306020
480,20773409
481,22753964
482,21320931
483,24450106
484,22006867
485,22413146
486,21888013
487,22270752
488,25132487
489,28895377
490,22505611
491,23776684
492,23179659
493,22094791
494,22217790
495,24730401
496,23197365
497,23653438
498,25532486
499,22986185
500,23397420
501,24104115
502,21781120
503,27719411
504,23830502
505,21435851
1,116509
