MAXTHREADS,Time (In Nanoseconds)
1,376772565
2,221964138
3,144145477
4,115380984
5,96391629
6,103375379
7,76714508
8,79506907
9,65152885
10,65503991
11,61200200
12,67481180
13,53946172
14,55390705
15,47755216
16,55926356
17,57391579
18,52411127
19,52916147
20,62252917
21,56785514
22,56948113
23,63842854
24,55466810
25,57012935
26,60965858
27,55930387
28,54893061
29,59320940
30,53704284
31,54489859
32,52350086
33,56152887
34,52748804
35,52355483
36,82210977
37,75647457
38,53574263
39,78149173
40,51361128
41,55510599
42,64558508
43,80923086
44,71726054
45,70904811
46,76343808
47,61613393
48,62621343
49,76839583
50,71825992
51,73960570
52,84912837
53,70802452
54,66355893
55,67917784
56,69262461
57,91209871
58,89031017
59,75638512
60,65087329
61,86292018
62,99746732
63,93866913
64,73634960
65,84280307
66,78147068
67,87126317
68,81245269
69,86404084
70,80412388
71,94258560
72,96224382
73,82633078
74,77444079
75,91491545
76,85266368
77,85793627
78,88578483
79,204891684
80,108820230
81,98269592
82,147155697
83,94437999
84,117241612
85,109103588
86,87737761
87,92682444
88,103199961
89,98617974
90,95646151
91,130238348
92,124391463
93,183684931
94,122323346
95,98379388
96,93664893
97,105307158
98,120456873
99,110109294
100,90229591
101,101219772
1,110091
