Workload Size (i*j*k),Waiting Time in Nanoseconds
93462000,555794163
8491944,126085469
53012016,452689453
21963460,247446953
21798228,273285269
6559476,174853978
3711372,65508380
37690016,377706893
97291116,561733787
2673930,45226413
25427688,282599516
5021688,108671147
1328400,43206623
1360624,51079564
2150610,57146291
48992760,433272745
987896,38637055
10929360,134906654
8709100,105391694
1842944,41350447
15506528,182699309
200592,56734707
519840,38663573
33278061,365552883
38640816,394679466
3232512,58056379
69814800,499455325
833280,59353058
22512280,304003857
1920600,70422494
13214520,160371549
2603952,45158716
595950,33789819
6210000,103379427
7592923,136484409
54983280,434206818
34006870,378060325
9926592,125361960
591360,27352087
5519280,180662600
1940400,56859504
81822195,516108219
6279462,83761127
3791150,69513718
39372480,382150389
15798272,225598839
1734408,57808714
70453350,516544434
36636462,365592117
13864851,176654085
11308785,161108858
41284880,395988526
49322736,431441833
7261812,97498728
46115172,393507712
31956660,366597267
9672048,191279224
16784144,200151690
11007040,132941429
9332087,127508939
24188696,270786210
1163712,47013438
14797980,172730055
314880,80090937
18015816,212691484
2173815,46491781
29050944,355629703
18588096,213215877
1292000,34212927
60032280,455499479
5745900,78347175
22964340,257097925
32140800,348878408
6157958,119508943
15919666,198829887
13445007,164938235
36513360,371116022
5868720,108146431
7621302,111995249
47500608,421552809
116494,31887700
33539250,373314539
163430,26231483
6635520,94065479
2173392,43103735
62148827,462898096
1972026,64781765
12493775,193031533
8764270,111316706
5231688,79462294
10778880,137767901
4482148,100906367
3820824,76514389
2866224,68945558
23561890,276088707
8938566,120195662
3790800,116750638
60858644,452158668
7927920,105574762
23585320,247401638
893100,48500012
1277272,39761990
58434033,460858387
9039917,130930794
22840272,252105485
43257110,414286656
39903876,400935207
59792525,450488081
5259375,86725179
35259555,388631211
3812850,57634719
13541112,169584716
17239892,215485138
539280,23622667
12976392,165784779
37296,21638265
11830504,174250897
11293260,153836641
58368,21596429
2379856,52245474
4538940,64552536
79350348,513099363
7013384,103401263
24482380,300916141
41769936,426841307
1054680,27221164
15456672,190864764
3776388,63291462
915200,59919120
12653280,281103302
10118636,128185853
20185060,243637959
17376450,255332584
1605520,38667437
18988560,240266038
12461580,176232670
66093544,485194111
2834496,79520581
10635348,149952956
302016,18292812
19687360,233606838
2982924,56896253
14374052,180015512
9781200,123979642
233996,44211611
12559228,236861945
3286332,139658024
4091838,63418062
73741689,488468052
27821616,313548348
20282496,228538808
13294224,158150422
5205060,86107038
15823584,238736698
27315200,313571337
3904320,61215982
30018600,368480353
8561106,106871323
47796816,412722062
286650,20477202
20058840,250685296
56355405,443245474
10867518,133409028
58502640,450400919
1013859,32849260
6138880,90962019
710892,31798836
16115242,223731896
9412416,122572052
7479360,138568097
12139290,156957099
70841276,485264192
7289464,239435852
155038,12500592
57074661,460906834
3407446,51011171
512160,34235937
10332566,184193099
48867078,418676557
6801696,99113666
14784456,196339943
7894180,100627652
12008766,149370453
21058632,247014115
6567525,96859570
6564792,98361142
2787365,84139001
588280,64838496
19131216,271501316
28318192,310555688
43015980,308002161
3940720,82986905
850584,39721694
9419520,136144534
3128787,52080030
11197375,150020675
8444250,111946830
1903200,42080900
4540722,67646056
5441274,85136169
839664,23755175
17910330,215109779
582930,63716946
809115,42364431
1857345,46205676
6627114,91389939
2159340,97007736
18247280,204393281
61015992,468914013
16397640,197655890
1006992,38259195
6062680,102421089
716045,41850622
18028500,223469387
14148369,163422953
2630070,64619640
1696320,35213816
11391904,160923021
33120900,363346460
20397624,243496370
1467180,35384896
51224400,427039121
4078980,76455705
1839024,48945488
83608448,521406347
59314632,442407966
49718760,411083634
22801800,294758671
5231460,73430195
23204244,259224990
5934006,98327929
2948400,51320983
7017192,145654379
14687340,187435960
12528621,149771057
22228668,246282762
11834200,204206961
25619264,291025797
1287592,39753359
6477030,97909248
1779016,39932892
7950150,103639877
4920720,98287137
203397,97515702
20611584,293498194
44115180,402277716
10399580,197605232
115364,30797461
81287874,517193611
20498370,237980363
28254120,378124173
28932960,330744837
46163925,409120315
5454864,124858159
6160770,96762375
8070036,105330917
143532,28421323
696080,37627283
20862912,248683826
13601000,220751380
13427712,183567070
15512364,210024025
6836312,127447967
15920064,212366594
2548980,49980047
12411938,169691567
728750,43146951
5215728,79710092
37752330,382213955
8149511,116356883
7150194,101600549
2176845,44365247
32037120,271157544
1944800,43284862
718146,35173760
30088695,335330510
65728000,469693597
39288200,410449750
5683093,77571945
550960,19292401
18627840,325559652
40234194,381173295
29439954,369486612
15900780,183931116
7857261,105860815
31418736,342177227
8196958,108145435
1624320,34133665
38285000,388787302
2237210,39890147
693000,26215204
2852256,60308776
14093595,180614858
2185950,51219131
4043688,63684515
16556736,203186353
236964,18426118
9655200,123141475
27989904,345583488
31281228,341995855
19010880,273202662
6282600,178975085
4547400,79357059
16803072,210066401
295740,36314709
705000,23958683
37075482,375217325
4878408,97591408
19785060,269603232
5471190,110371654
28184686,322181875
4762840,79279297
52637904,438136407
201240,40464053
28664064,355630713
6941382,102288141
262812,21861304
29937600,352516101
1941813,38622583
20144850,239704485
15641955,224206503
1102230,45341274
3042774,54390639
18259020,213647481
10924912,145519451
19504460,235342486
3974740,74087786
3668350,86486687
2926380,86560520
22000644,243619836
65691960,467835142
11044808,148815877
1166980,33557082
9794664,122368563
33349320,376767350
14392044,170247271
