I*J*K,Wait Time
53012016,450227115
21963460,246022823
21798228,272148553
6559476,173436962
3711372,67760532
37690016,376468982
97291116,560607647
2673930,44253542
25427688,281885021
5021688,107641323
1328400,45408609
1360624,50022524
2150610,56011232
48992760,433322240
987896,37539678
10929360,134006269
8709100,105253013
1842944,40021346
15506528,181316571
200592,55340166
519840,37519434
33278061,364529534
38640816,396911369
3232512,56853661
69814800,495940474
833280,58218142
22512280,302797358
1920600,69137199
13214520,162352563
2603952,47481565
595950,32780779
6210000,105830589
7592923,135361578
54983280,433053982
34006870,380512212
9926592,127251177
591360,26122481
5519280,179512399
1940400,59195383
81822195,511579377
6279462,82288235
3791150,71706139
39372480,381071806
15798272,224609268
1734408,56426850
70453350,514396335
36636462,369974028
13864851,175190948
11308785,163151077
41284880,394895625
49322736,430209542
7261812,96430254
46115172,396157190
31956660,365087670
9672048,193143762
16784144,202459095
11007040,135385147
9332087,126388780
24188696,269812430
1163712,45810851
14797980,171374914
314880,82286958
18015816,211689805
2173815,45305146
29050944,354501116
18588096,213628839
1292000,32910706
60032280,454144426
5745900,77160614
22964340,259467772
32140800,350913645
6157958,121753566
15919666,197657417
13445007,167522117
36513360,369908967
5868720,110575632
7621302,110245583
47500608,419732121
116494,34223220
33539250,372062450
163430,25125446
6635520,92624823
2173392,41798982
62148827,465178754
1972026,63686036
12493775,195368706
8764270,113689908
5231688,81733535
10778880,139707121
4482148,103139610
3820824,78833744
2866224,67777127
23561890,278360078
8938566,118492825
3790800,115600345
60858644,450077017
7927920,104354241
23585320,246051322
893100,51656918
1277272,38526656
58434033,459742888
9039917,129735517
22840272,251374659
43257110,413333210
39903876,399936706
59792525,449067436
5259375,85370661
35259555,387526654
3812850,56435637
13541112,171579703
17239892,214331221
539280,22523366
12976392,168092028
37296,23905825
11830504,173125814
11293260,155781977
58368,23490272
2379856,54736920
4538940,63432804
79350348,511992900
7013384,102104827
24482380,303390690
41769936,425741545
1054680,26231031
15456672,187179869
3776388,62061888
915200,58752522
12653280,279891806
10118636,126790858
20185060,243514841
17376450,254499957
1605520,37633801
18988560,242459305
12461580,180770043
66093544,487924374
2834496,81770253
10635348,148807982
302016,17159392
19687360,230840206
2982924,55727242
14374052,178906643
9781200,125937070
233996,43220136
12559228,235851182
3286332,138371539
4091838,62295294
73741689,486942222
27821616,312635024
20282496,227635817
13294224,156893052
5205060,85096852
15823584,237291755
27315200,312400559
3904320,63394682
30018600,367786198
8561106,105842198
47796816,414917060
286650,19235652
20058840,253032921
56355405,441942254
10867518,135570659
58502640,448316581
1013859,31560119
6138880,92655170
710892,30700738
16115242,226022309
9412416,121191189
7479360,137445460
12139290,155771613
70841276,484518426
7289464,238308209
155038,14807765
57074661,459575487
3407446,53505629
512160,33206344
10332566,183037540
48867078,420532341
6801696,101354999
14784456,195232792
7894180,99367152
12008766,147863093
21058632,245788057
6567525,95697071
6564792,97715626
2787365,82984378
588280,63402444
19131216,270357710
28318192,309653178
43015980,306750893
3940720,81859627
850584,41939124
9419520,134847775
3128787,51042244
11197375,152267278
8444250,114145943
1903200,40727734
4540722,66769363
5441274,83993268
839664,22681117
17910330,212644346
582930,62587505
809115,41111659
1857345,48496842
6627114,93749220
2159340,96078775
18247280,206687710
61015992,467730593
16397640,196054701
1006992,40507978
6062680,101270666
716045,40773730
18028500,222614269
14148369,165899801
2630070,63553768
1696320,33923451
11391904,159734382
33120900,365709777
20397624,242423768
1467180,33965695
51224400,429086252
4078980,74759266
1839024,47481587
83608448,522480863
59314632,440590714
49718760,413787688
22801800,293541307
5231460,73376814
23204244,257275674
5934006,96288221
2948400,53471935
7017192,144556932
14687340,186286084
12528621,148798285
22228668,248525495
11834200,204541195
25619264,289793826
1287592,38681309
6477030,96551640
1779016,38629107
7950150,102280860
4920720,97177867
203397,96233277
20611584,290877211
44115180,401055409
10399580,196715460
115364,34039555
81287874,515885108
20498370,237277684
28254120,377080175
28932960,329715486
46163925,407580277
5454864,123602124
6160770,95504497
8070036,104177369
143532,27276221
696080,36530760
20862912,247459324
13601000,219276946
13427712,182402164
15512364,208794288
6836312,127428986
15920064,209923889
2548980,48740101
12411938,168359399
728750,41885379
5215728,78106458
37752330,381230356
8149511,115135575
7150194,103916685
2176845,43386379
32037120,270118943
1944800,41980366
718146,33905992
30088695,331554178
65728000,468940744
39288200,408954340
5683093,78290707
550960,21530629
18627840,324364904
40234194,383801901
29439954,368810595
15900780,183048529
7857261,104669365
31418736,341002987
8196958,107150977
1624320,32918847
38285000,391834619
2237210,38625149
693000,28493558
2852256,58871308
14093595,179317646
2185950,53411161
4043688,62218504
16556736,202377836
236964,17140522
9655200,121906530
27989904,342685647
31281228,339929855
19010880,272056529
6282600,179092313
4547400,81058175
16803072,208988467
295740,35063798
705000,22653453
37075482,377388255
4878408,99822593
19785060,268499698
5471190,109107766
28184686,321437114
4762840,78271040
52637904,440300723
201240,39260838
28664064,357889211
6941382,104757999
262812,20721575
29937600,350988607
1941813,37350354
20144850,235818453
15641955,222859629
1102230,44217212
3042774,52923441
18259020,216012187
10924912,144284179
19504460,231813747
3974740,72653233
3668350,85930249
2926380,85243497
22000644,242228096
65691960,466454015
11044808,147594312
1166980,35830701
9794664,121241081
33349320,375124723
14392044,168926611
931770,103935296
2211300,76156256
579084,35423068
48615120,417407623
68023125,472696038
90660960,566256134
582176,18117473
15346044,275988657
773604,31447236
14336121,222583407
62919450,463914555
57696912,438939003
3934896,70348641
10748560,129723945
527644,31686480
13952016,203838302
6968480,259026000
2210004,68887748
13839904,177446298
10427685,151249642
55508490,434749879
1311856,35771873
22540140,256640034
3453450,56974492
2244396,84817002
1753488,40946103
11431920,138563275
2208249,53650985
28935330,374521441
1334550,32078452
18554248,205811179
1052016,40781129
2447250,41886178
799176,21558719
968688,39813658
11082918,139899393
1642788,37321771
892296,43191516
662592,35889488
4584960,120392332
1216215,29528822
54696250,433691537
11970000,172933250
981783,30358639
3038500,55486332
25456704,278788325
1807982,44007843
51609668,452662443
2888067,60224574
6984640,92867759
31367160,359381147
11898180,166275116
6969344,96185060
9253440,141952823
3925135,61299247
29484,10359254
21230796,245938124
13204620,167088877
5943960,112378891
21654528,257492414
6735110,94120582
44051040,397248260
78129216,528808650
85500,11438520
18258240,238485256
12947088,156107543
28206640,316589728
58294880,453530420
18535545,215775562
4112640,98281698
2056158,46539982
2295612,42827520
1982904,65842760
1363231,52189521
502602,62270187
1009944,40904769
54270,20423947
4209552,102151354
7011900,99517387
16464295,250961475
112632,26068550
8297830,109897973
24917280,296561246
15429972,185963068
12673908,219194213
1163244,39882409
2552904,87597975
11234600,136848948
14943236,190757468
3501828,85081546
12040000,158492301
33926288,361263603
38433120,267540908
2314620,64784426
195052,20091481
856996,29435328
21598380,239791975
976014,26122692
1544832,40679626
41580,26171903
15157152,184273208
72761,43458521
5157216,89635858
37248354,383736833
38023499,393091820
10717056,130867449
1089536,27277896
7491396,99383277
15851502,270222863
10281600,177433408
11641260,139615249
5316480,113141416
73440,25121825
10476760,161575082
330150,15876310
1476000,42130659
2432898,71375674
41917242,389751513
391776,57949743
2944404,47643646
77652960,511550549
23028336,301290405
1190388,35014914
78543900,518389343
266778288,1112343117
501937560,1747986242
432849078,1621983970
414324792,1548101488
722644092,2356369581
258321870,1192323050
585779712,2023129630
403160140,1581490180
192153136,922266883
164759224,821036348
368497870,1405782239
262949880,1112883030
431155296,1746259015
228392280,1004782072
258553676,1088036537
538140048,1868382972
646032310,2148234000
309318264,1219099234
424486734,1510886908
560508462,1784657415
211483392,919268702
451720940,1624764595
251377056,1062833844
229295924,1034734869
366913288,1444863911
478469376,1695439434
643288576,2206897445
359215920,1435949402
177229080,898819822
326875140,1324384872
239012928,798109216
293090000,1246116412
233292960,1134646629
446575360,1638889935
226731148,1009137983
403858292,1518208859
321512148,1343981212
346789464,1266260446
226554272,1038782162
424968360,1535664222
352946240,1453529047
679858288,2205476699
409211250,1590987043
548160840,1849719768
653927206,2239138813
444107490,1712547489
456000000,1780313286
