19308800,280328880
48344175,441068926
5521200,113153021
988988,42868096
13009305,160260409
388976,25773319
770040,27832332
19755060,215529895
6687360,99440815
37080072,306163449
99928991,568616268
691200,29949146
1306620,36362978
28039992,350494916
23452520,279907056
6603714,122023250
10065825,125467710
16854786,211114964
23447970,284624069
2548432,49151191
565936,40523378
532125,36409185
74528757,495965665
58899648,449053734
20248921,293316472
53032020,453744769
90427590,535773273
26800466,316167780
31362688,356650578
17936352,290569752
69571944,481124275
1212675,34297708
7983360,123631505
9726710,176161501
15345322,196821708
75295500,496065619
132741,17162691
297395,19500732
19582500,226312787
688896,34118447
36344532,395295032
1488396,36317408
50248590,422413540
33363253,359137312
39342768,382295406
7778818,128083172
3232320,72475234
15503070,234717023
524160,21448305
34511400,349708712
6120320,97916761
8386560,109072183
37146000,378008856
34461600,407356027
37075074,375758746
52595796,447702266
972312,68602795
24296288,268203725
5644800,74898179
5038656,89784999
1376100,34267545
6438000,126067876
57681,25600982
7083450,96283784
25119312,279490206
15042510,176732108
21181950,236267943
35956000,384054625
36842,15052849
4507776,120602699
48862528,419210204
76357092,500267533
21843756,273769520
4807320,85783206
3037800,62223641
5904360,80963426
4114944,72314311
24104760,275919940
814792,30018953
30369144,363142919
10237656,158115996
2259510,47293251
17234862,202560882
20613888,249912593
23927568,269008027
2727648,127930833
7216020,136563956
4608450,72485269
7283598,96286876
10093182,134561270
1167615,32088337
2898252,49252828
3602304,54750323
529830,32467280
1279700,30003084
10681216,144542294
56837550,495107623
975624,36495869
30580055,367077218
26388928,308693317
1696663,47046332
77422345,504500241
1311912,55874864
6876288,108304970
389298,21379791
4102560,75000947
3123000,51492809
14445120,239079176
34856840,396966582
25896681,289811855
2888288,51422823
13776840,245706866
11334126,145368177
2024000,126044098
1713933,49289886
387090,34482545
4266108,68553908
80341236,508733076
269100,25932784
29078400,345730608
2867943,153412398
5964289,92017807
503094,49579106
31710848,337598699
10716650,145483724
745920,25733855
12777600,155460646
16437768,196401417
7129080,110612462
37256637,373486900
19210680,218744661
28432800,324191144
15598656,188119154
31967232,386628943
35034272,379326634
46897905,411313974
19047600,229640405
16831584,192241654
1141800,34109277
12040224,144762038
1205280,34266084
7911360,102301206
9127818,157795410
672672,25766910
24235056,306846112
6009900,107115352
36494396,375335807
64628685,468743516
8550304,109101507
20938050,241282551
2349292,143535087
455700,27725291
1704960,36315226
1596798,49150464
11451440,141288104
16010540,184839418
6074355,100163235
255636,29969350
501618,25713951
32377968,363395273
35830080,410337547
5182704,79868698
1269975,36444800
3606133,57532327
4993342,109340340
2790000,115477537
21408060,248645974
8801968,117745684
13040956,190181218
38121630,383885193
8228640,123988723
911400,34256742
153370,12972740
18231000,207146703
26916090,322731088
29328206,332829255
2584750,61695741
14757600,194262769
4617550,81260456
21828378,258282859
14922726,172564845
33075441,380012870
20457360,252141388
7582995,100369379
26310632,314321175
85526880,564075305
6747300,138945314
32762880,358479535
605880,30085499
107185,17345148
495872,34521283
4145130,79191584
30783753,335813667
373296,46981119
6742404,144926640
18504405,210271532
667998,38362316
3467640,74432938
4985600,74796488
7950800,149914010
20185764,250136682
31092876,358534862
7000400,122959734
617760,32301788
51698232,424140484
318400,23409556
20602894,239304365
61745,17364152
68663945,478974949
6364724,94033754
9938880,170292116
7013160,98738955
4278540,66322373
22482840,258631875
5062878,75005303
2103552,47100474
38294880,381972147
19607016,230048783
19653504,279753478
38027556,473231377
2956932,49411327
3431000,55641731
18628992,275631731
41030,13007657
37489075,367756677
42187925,405584585
2614860,57288042
779317,57765203
50463050,436472303
54857088,436316558
24084060,388097385
1020390,32311400
431568,34370098
2236724,51309743
16208790,185896977
4379760,75778546
13055520,213796780
8404200,111247483
405504,38639369
792792,72801200
76532225,500419718
5437510,80901028
52478272,428813473
722988,30181716
14137387,72533100
119712,17121770
6543680,94088028
19572168,281936647
16435188,224175512
243530,40443962
29187000,319389511
5590536,119719034
27374250,260403934
28133376,417807348
13970485,179449213
1976250,47107490
9760870,128435959
5134220,79199176
