MAXTHREADS,Time (In Nanoseconds)
1,180709534
2,102553460
3,67654164
4,51641040
5,41777397
6,34815656
7,32357923
8,35041694
9,31638116
10,26684950
11,23600015
12,23513290
13,22857750
14,20921018
15,23106399
16,21918076
17,30373935
18,19565534
19,21735822
20,19731909
21,18907083
22,23198565
23,23481715
24,24396763
25,23625889
26,26140117
27,24793326
28,23162552
29,28314652
30,27261709
31,22759449
32,27579874
33,24522261
34,26856199
35,26258557
36,28666298
37,25472322
38,24081484
39,21336672
40,26897428
41,29639681
42,27473233
43,30358928
44,29050041
45,24255764
46,28491300
47,32593994
48,29638440
49,24657637
50,27355206
51,22372622
52,30973450
53,24349373
54,34182047
55,30825231
56,25446078
57,26663767
58,25889532
59,24208094
60,27072451
61,32868081
62,23157000
63,28590258
64,33976964
65,28488124
66,30063768
67,37818416
68,23192478
69,22904698
70,31438418
71,31432995
72,35906562
73,24854207
74,32269927
75,23100089
76,26533893
77,23209223
78,23561073
79,26319355
80,23304065
81,29254431
82,21149697
83,27804435
84,34188804
85,26675830
86,26380319
87,35652061
88,28011661
89,27314141
90,35026457
91,33913518
92,21934580
93,23857237
94,37026339
95,23594515
96,23645108
97,35341934
98,27260125
99,27156012
100,32631055
101,26629626
102,30998068
103,23642013
104,34321692
105,29572778
106,24112461
107,24328201
108,26837378
109,23902783
110,20619399
111,27237034
112,20035131
113,32312517
114,28952476
115,24700836
116,31023207
117,32699178
118,23844712
119,27632599
120,21507120
121,24080093
122,30610474
123,25023689
124,30097157
125,30086552
126,32769791
127,26754357
128,29509638
129,27426986
130,22575565
131,26815637
132,23242398
133,25888847
134,30385708
135,30550812
136,26432150
137,27088247
138,21934241
139,25168090
140,24059822
141,28819419
142,25208955
143,27237872
144,27194645
145,26809683
146,25780676
147,26645777
148,28017216
149,28751827
150,32399735
151,30469431
152,25405046
153,25779076
154,28055116
155,28249201
156,23641944
157,27695283
158,24715782
159,23615296
160,28053330
161,26381104
162,27294821
163,25874668
164,26039528
165,32536023
166,25420367
167,30083097
168,27760087
169,27022632
170,24781764
171,34140537
172,26416508
173,25964498
174,25525875
175,25476555
176,31281240
177,25911115
178,28568538
179,26136914
180,29304443
181,29853814
182,26003388
183,25410524
184,30293704
185,29335567
186,33050365
187,31115422
188,27620844
