MAXTHREADS,Time (In Nanoseconds)
189,24895125
190,27767962
191,28641793
192,27819705
193,28834857
194,27014397
195,32915049
196,25357507
197,26899826
198,24151896
199,27305353
200,25822237
201,24132377
202,28480156
203,27483069
204,27997426
205,25299174
206,34441314
207,30591018
208,26681959
209,25006773
210,30488010
211,23493873
212,26459854
213,25332292
214,26753104
215,29560301
216,27807477
217,29957957
218,26984959
219,24155326
220,28450092
221,25698153
222,26224742
223,28225755
224,29319703
225,25406717
226,25758590
227,22817777
228,24182398
229,25586442
230,26162296
231,26993121
232,24429215
233,28386869
234,26480957
235,28145028
236,26339840
237,23868012
238,24146920
239,27406033
240,25996228
241,29665283
242,25483385
243,28521503
244,27935328
245,27988914
246,22181075
247,26960453
248,27913917
249,29048030
250,27858176
251,24830217
252,28914951
253,24963978
254,27472350
255,26021804
256,31830189
257,27811262
258,41646509
259,27023628
260,25036198
261,26237552
262,25973971
263,25115536
264,28336994
265,27560954
266,24529477
267,25282416
268,28127276
269,25355554
270,26771468
271,28411890
272,27872231
273,26835997
274,26358553
275,24729281
276,38914180
277,27466409
278,24576680
279,24856998
280,26496587
281,30004310
282,31562920
283,24445874
284,31470954
285,26985111
286,23697560
287,27857001
288,28459485
289,34695712
290,24838135
291,27046491
292,25003218
293,25494894
294,23242624
295,25147890
296,26804347
297,30251972
298,26056832
299,25639108
300,26342248
301,24450785
302,29753732
303,26902210
304,27059305
305,28483246
306,29990487
307,25101310
308,26134385
309,31816772
310,24212598
311,24701593
312,29501412
313,25731578
314,28360047
315,32137414
316,25367131
317,28226575
318,27020619
319,24033441
320,30613375
321,25144309
322,24388599
323,25378251
324,27080759
325,27992264
326,30092251
327,26517407
328,24670166
329,29924841
330,23630909
331,26423420
332,30437928
333,30465653
334,30299989
335,30290535
336,26480838
337,24375843
338,27749263
339,32692768
340,25196846
341,25056292
342,27310323
343,27781214
344,23535628
345,29009296
346,25302431
347,26303945
348,24839591
349,26252326
350,30193917
351,27345233
352,25981982
353,26948530
354,35348501
355,32791178
356,26745213
357,25986183
358,26727053
359,28063474
360,25131733
361,26706210
362,25478112
363,28783833
364,26993103
365,29734254
366,29411020
367,29124862
368,27193290
369,26997157
370,24809734
371,27610625
372,26349118
373,28518749
374,30768344
375,26638358
376,29549889
377,27696602
378,31396775
379,26353523
380,24797333
381,26727796
382,30120069
383,26960418
384,27959892
385,22740107
386,28322936
387,26662581
388,27767457
389,27212449
390,29414495
391,26423373
392,29176448
393,24614366
394,25610627
395,28110458
396,27279394
397,29413896
398,27119852
399,29340145
400,29288671
401,31065236
402,25289972
403,26945519
404,27058332
405,25106234
406,28166046
407,27330785
408,27693390
409,25374895
410,27439500
411,28330342
412,28978705
413,27720766
414,26635857
415,25750628
416,27916312
417,29529223
418,30582870
419,31895414
420,30722289
421,26976301
422,29449748
423,25981759
424,29281683
425,25641241
426,28005120
427,29853260
428,24362330
429,31194119
430,27703541
431,26131366
432,27463490
433,29318271
434,23038247
435,27284059
436,26966337
437,29172588
438,23183290
439,27371613
440,24807064
441,29872270
442,25493787
443,26588693
444,26590240
445,31185771
446,26460446
447,26558399
448,29368973
449,30435884
450,27786256
451,26783804
452,25468093
453,25142511
454,27051246
455,25773698
456,26947768
457,34769953
458,27849735
459,30693283
460,28447000
461,26586398
462,25410102
463,29696438
464,28419547
465,27524361
466,29090204
467,31750949
468,24107499
469,31254545
470,26569825
471,27238666
472,28157686
473,25786022
474,28299657
475,23714580
476,26731012
477,54811477
478,33490654
479,25116807
480,29534290
481,24393952
482,27453265
483,29616219
484,27900795
485,28201985
486,29246043
487,28328901
488,29686711
489,30039493
490,26701325
491,25963724
492,29699434
493,27469466
494,24937048
495,31153204
496,27720519
497,27139559
498,24233764
499,24764334
500,32713018
501,29830665
502,28652729
503,27119105
504,24722107
505,24696239
506,24448634
507,29722336
508,25310004
509,29630149
510,22454549
511,26532853
512,24563966
513,28664937
514,26408994
1,100773
