Workload Size (i*j*k),Turnaround Time in Nanoseconds
66545193,46607135
515017728,129484483
10878000,11966933
51541740,35815284
240541245,141138117
26405840,13770819
268797816,66282227
6534800,12925603
291895695,84577300
207758628,45608923
45767904,33687745
69368832,32542548
99485022,48810063
15559362,13016293
151457040,51200984
112698950,55489068
393630050,97810920
16380144,62851445
37808100,44591757
102165945,38814099
123931038,58734594
95820384,39023381
215695220,63087712
11214379,8636043
2383458,30389319
110271525,60962851
272989106,78348818
254115576,74826482
122617080,76042066
21812263,9519806
3800380,4359886
30181848,9554269
63554920,28284385
251719846,76077938
217369031,58517324
17027892,11642334
31007886,14810302
135888480,41713764
239160600,70500026
21483072,14821775
22767899,31560315
310068,22723375
71408250,44519721
4875816,21747570
9865750,30703639
16456536,22697848
3490080,38059511
8044288,5413685
93243436,23258683
246045184,64099239
180738547,77366858
348197500,83720706
227099180,48837963
9683500,44679005
7076004,14945488
258798900,55493332
49494900,67584202
8500140,14089624
19794240,43277296
34924149,10806583
8852102,26523228
92900680,17980989
441502620,130544353
44060445,12845666
24978240,36442370
315288000,92415926
174649326,69560261
5239200,9530873
361363275,95319621
171821520,71761273
58930000,23909216
24394032,19044910
96469428,33022117
9021336,6355293
40103876,23332050
138735627,70489591
8541855,8515380
100341420,21151924
349545350,90183464
56775264,49700546
11994024,15237065
1253070,3278353
341720960,90942266
33511478,49749706
326421900,100998950
500696784,112812515
46066500,16923333
154958832,55286682
118286178,41338296
38336088,29800460
408945768,90913209
43571440,16304721
204421740,77257230
635812264,133811502
665292600,140240034
15369564,27801990
91035840,57709724
47839616,50415414
340992,2123402
31354596,10795522
258489363,90721178
121990174,57205235
17193600,13060997
116107248,36411298
8252200,29610207
137697000,54183973
7638300,5289884
8267666,12694066
37577800,12872536
32189696,14809891
6477728,6511849
10296286,9518420
34940768,20469839
2608320,4297921
19687380,10786267
104342988,38788973
86498370,44410469
61675152,38966620
317901672,84403869
132190200,34450244
160954640,66139381
203814450,66822520
4942992,8432552
192397076,57560305
2624440,5270739
38781786,14126845
86843640,17336214
134979240,50876075
28958656,10583340
348468750,78400587
3583305,10620550
14140284,14021280
26745771,25969399
271196125,84200659
28558082,10564988
8254746,5270319
114889216,33490095
269392032,70506230
356671238,69418474
55686105,31316648
53537341,40038485
7288512,6334533
80432016,39862385
317102520,80460953
159325632,63701471
29729770,22357930
190897536,45603793
204087312,45485775
49875000,23812757
45508491,31292606
218950680,58151734
28056928,15207093
216322068,53322969
32656500,25928606
347612802,90168099
11120928,11914172
241757698,55177320
296340,3237136
390676330,86589959
269468,1094094
300321000,97938295
43371328,12690237
53835056,57569845
390141440,74758052
50556288,30390506
156787488,34803414
271319400,60155617
50780808,13010306
108346056,31126620
5030060,18261058
367413792,91212541
9289720,36742555
101923900,25973124
1020408,3177732
78791328,40129627
67519608,45243240
114142928,52894897
60522,3178752
147342216,55197073
136285224,91154499
195515176,88137943
671879376,120736498
17440328,41777583
308682816,80361998
23835760,24982293
238600320,55824176
1399680,2122872
460573008,102962400
64005552,70198878
85085040,21632991
8649192,5445282
707655804,115496125
195953802,52655080
251401208,82847929
132215160,33808316
66517734,27074210
32626800,58391619
37543506,59794452
67302738,50025145
218690626,58037971
238107528,85832385
80678988,47284631
418834185,105325218
79472300,89080586
28751040,30230818
71902080,34478700
7836192,6561174
175626845,51015243
45687000,20318817
149342709,70599115
485064480,90006106
7518528,14168316
164395440,51054710
615706,4236513
223201440,60804386
5961475,7606559
413345190,105345540
19914510,8650915
80516975,24874056
139205436,35816239
21658708,31315651
2809220,3175866
289500759,91546210
428808996,80923921
266881363,62934517
3633448,4372801
6405858,24728709
9896740,6391646
300618,2120405
222403360,84977743
89391060,41796226
259924689,52088134
19560442,26153795
21810726,20586200
102601740,25751758
544527360,127312952
8424150,41323713
20853126,24939375
292025664,50998418
94358880,28235939
36737104,44443405
396300168,87055721
155040900,68361363
32733272,56209644
5460700,14808104
217710,2117679
11440395,9769294
71906142,28928025
131834560,57192716
31870728,28090361
3595788,7503282
179086194,44591565
128118600,41746817
8151000,28409393
5200,102
233189946,60658828
123616800,34641103
689893470,132563507
11350724,11926592
19571634,28576500
68138720,24265487
44684020,11664506
290829700,100659515
76080444,24621130
45750480,22580292
94134975,37012926
15372854,30461809
55430874,17394253
9174738,13023444
105525666,33848631
85207800,31733862
17850140,12654323
133852440,46803203
255304,2146517
538843368,93155500
26394948,20648832
11381380,6349624
253012404,83937618
116890560,28534143
87003400,27145504
323734257,76203705
33294222,10794336
50950026,15994544
121516560,24321352
434624715,87668116
357471660,76068861
11848680,36649855
34652086,13733714
101695500,66106083
173530188,49682757
13646016,9675358
205474100,77119647
33143712,21677222
160931888,54032374
168380784,49739477
24383772,23370819
643888392,125530676
213736320,61766005
383471488,98628035
450688,2121952
10558275,38523248
47987376,49616029
29028989,25402639
232520860,76721435
99975480,84670297
99116460,77438202
24669360,11884380
177423424,50993891
295015500,70947128
8922576,9710784
117880758,49832222
42934595,49877657
2310084,3234800
327041454,89360472
196671132,56327698
56336144,43273323
75763968,64369136
173192448,83544900
69986370,40131565
122500980,53790210
54797960,64310690
22171776,9737704
100028544,45589016
507584810,104102343
103243516,44553952
8350272,7413670
240000768,70382163
43406085,25382312
9736920,6470122
126904915,56795325
24806280,19866764
22750560,11680005
1239840,19371259
14066250,21290648
102858868,70018219
37988280,22459551
36495200,28985230
10233,1058192
24724288,9699855
140763762,73987820
153701640,90063985
10232280,26714164
26323500,14862946
208292436,64128969
37881060,25733298
27090000,20714840
38960260,31256605
163062900,54779282
11919600,2221225
253885320,132
46478610,16239001
2925300,9527114
84076425,45220375
18579232,16296064
23190840,50275986
11533860,6432056
134269485,53096122
14757984,16075870
94390800,39759210
76201176,35915891
9729423,17404958
38023975,35374093
348231930,90086507
99603480,46456626
265154490,78959772
80589792,35320232
75605125,21117020
113092300,46231038
196517685,58548045
408707442,86742991
33158160,16238872
25256088,22212071
387626080,74472042
26107704,8641103
58746260,37923027
50743560,46404840
76231260,38016936
181785472,67346804
12275900,21737032
164897152,41333221
374169600,84524209
423060,2123433
15360030,52289064
92724408,30453269
46665216,12938317
749800734,170761115
279498600,72910994
243384965,60719936
53034320,34499386
10864100,10576988
37574400,22805625
205648704,83017242
386869710,79818693
18423816,27480364
379855200,100699749
471449160,79661075
3289086,3175032
8106700,6355076
404761500,112085292
809135328,126601953
19006944,43318246
26038000,10824320
4274858,7638304
236841282,104267461
21104720,59636778
76668228,20563659
1597248,2181525
96767874,38534485
1726452,3239386
291457285,105736135
236215657,80185232
71762240,59567308
87391848,25754889
80542980,42929015
164176005,46500731
74757900,16937989
4543980,10749222
66273072,51924243
24515544,24324514
109270430,71883177
3221127,4327078
52412580,41154948
74296992,27044136
28087500,23265135
104022468,43155369
28949920,8658778
187724240,31875343
194635112,66211505
169164450,70503463
29168100,36832561
168478020,48653573
60879168,47668694
82482944,18384799
8755560,5290196
19114335,8463098
148539888,32565182
148393532,37727328
3492874,6332730
55298376,42091627
56657880,18259604
25853100,29517668
126557109,41944262
172380,1093051
10825386,17031677
76624416,20094245
21318570,15001558
311868216,75908238
150482788,42264654
47751906,22210591
72666720,32375039
658627200,107555170
50245224,72268981
155771770,46473073
226461571,82921034
14522200,16242199
30206808,26954049
134991360,39034228
112987224,43749547
