Workload Size (i*j*k),Turnaround Time in Nanoseconds
234729936,57710804
239607327,50094163
135480276,33295459
240811012,68544060
28909760,42386923
20552490,14846397
182817592,70985558
15283296,28854126
87089760,45405674
12258496,16510716
7898240,10392217
23318880,12505357
171621072,48014305
157288500,70384804
116878336,43243238
98193634,18823868
467885,6419930
656656,2061441
106588180,54190640
174031830,71603241
145936242,53512376
20879100,10384162
17279100,18737665
6151005,6239584
93267828,29040836
74029592,25144972
12761274,6240909
96909384,39570423
3292510,25071032
282086230,72944334
33614834,31249263
440756568,102972872
20449429,20774018
20322225,32968080
6392064,6269359
124468158,31187583
19988265,25121853
10444816,10419179
59765700,33230331
342197190,88095598
39615000,27083566
19585020,16644963
10762482,20559549
54985700,31255714
266940072,49574387
46114200,18795256
6127576,41959363
103011480,39467584
2900300,4122022
1880088,8233535
303981288,92450061
5812560,12372740
11375091,8308330
34691112,31329158
545594280,112328732
87406605,92406787
40081275,33211433
158386800,66717883
313189674,92071242
20638170,16609935
489646080,108410676
72421440,58167792
344777040,103794500
5475470,25291204
5360940,4148022
137419164,64767463
177021936,56474458
100104000,62573396
7001500,12336239
94048290,54256280
67396017,24954553
9665970,6179143
12309232,16709793
1805040,2063376
46749729,41250752
165457944,72941671
929376,2060881
129363248,75265201
272220416,89878061
36654800,35451582
20356380,16559282
300156160,85680263
88000770,58670891
218748843,76337184
208328120,39065161
300499884,89694418
81853653,51626666
343234076,87563762
153518160,58424750
80161536,54293225
8684064,4121717
111597336,50077552
49771260,27014664
238077840,76742986
272615196,107211899
36536400,18627126
99571788,33185387
47555800,12354307
8530456,6260380
10226720,8315066
24326190,25086724
29848498,12493668
238375252,56405641
49347144,12357055
504057825,116631972
284487000,82565309
48237338,39680925
933330,8240631
45705792,62096490
17478390,14567710
338817600,96982644
8801055,12421159
35476875,47751942
26941464,10358178
216670194,74107175
33262650,33333169
70963340,56390378
143190936,76277697
269069094,65862102
484901250,117914445
58252100,60010369
3905564,6180460
43526340,70569115
6454224,14567666
451031955,88741019
73900215,50322092
55259050,22678854
40876120,14641096
83057220,45900397
281679980,88569619
41654784,35484676
25672856,22663057
163167060,47978286
143307956,51397048
3415320,56525295
8908928,4179697
46933192,70932473
147186936,58282955
46673595,35121177
41372032,24721343
111293336,47514192
58838374,18530320
103984716,27132470
25796030,12388183
366199008,99727931
172527264,45776010
20053962,23015193
136063750,50042155
469173600,95878179
138226232,27063672
284805440,89026157
18549960,8364015
169555100,47863156
63443604,41779675
418297920,96760402
262830336,107641931
12660300,6268128
45837440,24909179
242927586,70428846
4167450,8243188
32981760,14411574
253856136,61809581
49394876,30905435
313657446,74683401
15755520,16719032
4171041,14446358
211027854,70748072
138004485,58582067
23545080,14540363
35292710,30920970
4364199,12349245
63090944,20583363
176612960,53854207
158134875,33438412
117580440,35009623
45564012,25067049
38940354,12348402
99466056,28820356
49067655,20595967
75200163,20816321
10198976,10452171
167044164,82690601
32359584,43884900
154403250,48028382
62599680,41109283
125682326,50023490
156211632,61785130
118835200,25013448
169473660,54290014
210944,107
58239246,16594676
6413652,16719281
30943431,10288877
95451615,22771778
8372920,4177899
96391565,45794887
139728644,45333394
28296110,20580470
15807924,31223853
8126300,6179541
47154624,20949765
69892200,26978078
152480205,37562240
403151580,84410214
34868976,64638975
65132384,27029673
35967009,33333818
81643054,50069371
103416912,47283238
170954630,73028566
12384,102
13241606,10292162
94487232,26716149
220101747,54264762
91415961,27060677
169708266,51989389
3055795,4117725
83642670,29194090
170852850,59927328
8488804,8291016
65890860,16754517
90838272,31297916
77102480,27176457
90605088,56254323
575652,2089468
30264696,8330488
1445976,2061634
36702592,24711070
213795400,62562843
14274519,20760792
48144000,18625057
219761728,49391558
49408656,16717473
32986800,59526655
36954936,34991423
36568896,12365578
47778731,54230542
14446740,43397177
99753318,55570241
1729380,4115779
13770778,6266451
253138600,62144011
203232645,97988759
4530816,6273625
26705798,30870557
364883200,70558155
69968448,31186453
1470300,4111311
249023000,57540916
97662510,33450855
20181798,26708423
110141238,28812482
139954646,47911380
280999488,79294899
115184498,56292600
65992980,47852885
237706560,58425610
734166720,116764998
73717056,35221075
74799336,24702319
43277520,25010021
98250000,37043913
105592200,52117353
7683975,16611101
27154440,16473720
77842128,54087834
59652072,27153520
2855650,43731066
446072,6246188
167316000,72964974
4622400,4178266
610475950,162906823
123252220,29228239
257756256,51997611
47340880,27159519
84755160,24985062
17151750,43309602
286866580,66313390
186446274,83013645
30814760,20593090
232945020,72846794
88947408,41656021
162135480,41498649
112080150,52091575
28438010,20907451
1405152,6323188
352973264,72398601
16383840,14376324
30466044,27142883
39129831,16727018
115222660,58188681
94686522,37412629
16071220,8390048
63694890,20584811
101510500,22800712
13109040,8378116
16703040,20935586
43411200,37582422
38035872,12359107
22366250,20858050
26469504,16476502
117198918,28824219
17070816,6269111
36223500,12558208
1966888,24727141
4562529,4120757
585696584,101998555
69584398,39456326
13253760,16496095
18926270,6175605
376068220,74533986
411990950,102084782
329365700,89121542
10031769,6176105
59389880,72726216
142391130,41258078
27527500,51704122
12165472,18533613
2324640,2094379
17574000,49988916
199656700,77129751
138354832,39419617
14129640,16604497
21142060,22856584
3157614,16497864
379101870,97217628
11519200,28824535
40629432,14635964
32776425,16484917
202582672,59698431
5042508,6276759
38054772,20611908
126348224,47364887
2491470,6175056
4301440,8263525
10000096,6239166
6225927,4119329
4545464,10253112
143120340,45863968
1207680,4216782
230675510,72542300
2114816,16816124
213689540,70778386
59931914,23007002
386255520,83257570
13667216,8226457
180958080,47879772
950208,2059152
24198096,8329772
1724470,10289487
96021458,29208312
1395900,2091716
72596048,75206066
25985520,10292191
179246536,47852050
3956230,4115751
18811170,26771235
7190352,16469451
83164994,45381300
21034512,8236869
382019260,104235558
16507904,16470476
25210404,14411711
1990272,22666871
335610300,131845465
76795392,20578523
93409375,33357190
192952809,77295598
287095776,89745710
11850975,24828004
241238034,81196965
131373136,35455421
194383476,66760410
17863440,27032336
269723520,77205255
76653688,22995429
348317120,62394548
966000,6273334
81476240,57988082
249712099,77122361
616776930,164674957
17744832,6272926
63673164,16725588
62140032,27179171
109266146,37479622
29112840,29126758
176751315,56348405
69242868,41787508
720555200,126200298
80685332,37053941
97230588,27042903
27216000,12537959
345564750,100166826
124342400,37081486
3361644,4081549
4004400,4183854
250140078,70011461
23931380,16738295
95822829,26767664
19951104,22807688
69037560,37543376
360706176,74998018
190586880,63914387
172738761,68832385
38521320,37629329
251913984,62668112
52658918,61796526
31797414,20852054
60318880,67818607
38827774,31372238
36578496,20882694
655949376,153127106
213121554,63830600
71715028,43371307
194550174,58459749
90433172,45933918
836070,4120128
41179410,12551196
14416770,12388152
145230624,45907776
49606272,20783727
183418392,74817208
10462221,16669512
388837736,93167664
1662822,4120959
312344960,66137633
63042705,29171669
7948095,4144039
673794390,143894577
91901770,22673813
238351680,61896033
31214040,12496589
188085216,58378523
1955124,8231804
136574592,51883115
18533683,8201380
467929152,82351633
25186336,12500634
185040450,123270243
3167100,12385403
225696240,52200617
39665754,10291675
14113440,24799518
11076912,31286621
80926560,56316425
86486595,46156366
161844192,58512185
105531111,31224042
639159462,151077030
120649590,68959129
87870203,40135876
52339200,35095692
156294684,74943351
12730368,6234217
126332932,43814559
17504838,20701037
430001901,118757285
8253960,8409135
293436,4174526
288556266,104069500
239651856,52193499
10277946,4214049
238246008,175
83826560,43262266
1963650,6312812
176863086,68912586
526580,54185267
47723229,18688741
91601601,41211378
355054588,70847938
3837240,6165868
44423010,24729954
77741775,52666237
19523106,73579965
8906640,10495041
12615264,6292717
135646320,46334904
88105000,46427342
48017268,35446905
16280,134
610731630,112462209
179974080,56433245
264545904,77137102
19520514,12531697
75962080,37326351
185700684,60425646
4383504,10293559
3746250,4126405
126756864,56397311
142401600,50008036
36171036,31074204
4946472,4123274
395199000,70927810
95584320,30868125
8761480,22903389
46006688,49448550
102250240,39135538
37415664,33334115
106258292,48020062
2433431,27128632
8426156,4119139
15207588,22945980
177423288,56271969
222760125,64670069
2154019,12517076
123150720,37054759
6990896,6180590
8898240,20906825
25587720,22998650
52297210,26754908
17285700,10366177
90541200,24691794
8166240,6276013
7832204,10308132
81465928,39125797
75793240,33363706
45462140,26812597
344590246,72975854
7154244,33339800
98122752,41322428
296805960,67941825
975660,4192505
267496236,75269940
2782000,12465978
63335976,20906129
101704659,41220255
4559886,6270482
338141594,125852835
276713064,72356983
96842880,51717896
277429312,61724750
68338440,77371529
391960,37524827
9550560,6174445
149687620,45821234
39564928,56303296
51310866,39728299
34418880,16699670
15051750,8369339
41250536,18626668
429575289,64698992
348642816,91713925
263792200,75009088
187255992,58010672
16269050,37519652
25385228,22647982
1698764,35536488
67650968,37473095
17638008,47674577
61810266,28814462
231449580,58433526
11107000,29117825
12361920,8240748
611321802,118847332
51445760,27005203
24429678,35343309
1783026,6173690
108680544,37370538
72921636,26736095
109290779,48005911
75028128,45931726
42866180,35178601
22311198,12411656
205844100,41736604
148769698,33348705
467457354,97221062
22691374,14406593
13892466,14628963
405149850,87374711
15207500,18753792
8458380,8233293
201206208,56307266
207286544,58394559
16380,124
10544544,18811288
401030784,87638094
12285882,6133316
54825776,41645516
32256000,31231228
1485846,2061156
108683443,24693698
21561960,61846261
287773080,81345361
349852448,80848533
95095000,28918984
74122290,24941594
167145090,37457530
119286720,70920983
486692500,83276913
375768000,61751953
3114696,4120915
16729698,14416240
65838420,26765826
11787600,6183002
9335945,6174950
698939144,122867754
3913130,8367418
167850144,64439782
259502628,75202584
29020680,16686203
183000300,47882543
318765,2092526
100166144,47606550
9070512,8232530
2743314,6181383
10481000,6176845
250035540,58330725
16570869,31217546
106986166,55635626
38215737,12498813
135642000,47970413
521122500,114351449
247346880,84775310
92591296,49753899
8580495,14658405
201824766,77121621
28279104,20873483
2442440,4121671
234011600,72945635
67817160,20807997
34707150,22794883
32787712,20832637
8606010,8362438
19568088,22652183
74947950,18805991
233338370,55745522
124611570,54136033
22635840,43795893
226326100,62608497
75124608,45318138
40186368,25035974
54478072,30863650
205610140,79237446
78191568,30888920
42939000,33427640
170190720,56234515
2963520,8246007
12421204,18794013
189480060,85551838
15558400,24884509
20090000,37075967
85087460,81367509
178751865,64762479
41874144,66576813
185684796,60320937
1975848,14629943
72738840,61908655
260582080,50057699
165350820,58476634
201790615,89803874
68774544,37400677
181873952,83579677
288657600,75101828
50778000,35428192
943598,2060923
25664688,45702215
159270320,47869365
426240,2064137
46686640,12351724
20498920,79117591
188650980,47356759
35087040,45633688
107951300,41691069
94876218,31248861
39375820,10290113
11758146,6179624
17095680,10416340
447737745,97930975
181090754,58384870
154659780,62517706
586714180,104052293
314416193,50030961
166994150,50113411
3827760,4118264
81216100,56284036
35216256,12368901
318849620,74108294
4462759,4184031
22778910,16469125
1344640,4121421
289318140,68890827
22837392,12562541
25958592,43717157
8423688,16613352
9174530,12450909
54150000,49565297
70888784,95979341
49855050,14407243
65045400,14407416
454293120,77122345
2268600,2062093
14250600,24963827
527756229,95848702
3150972,6239036
172207070,56356920
53837784,43778225
12110448,12488789
96734198,56314107
125610912,24731148
19027488,22995922
57095775,16722400
203581600,60413305
225036,114
270320288,60547191
31696938,14397850
11878233,10290880
60355584,35230241
39891530,14510124
301337260,80771754
37644560,25051350
81080370,20862250
131572679,64655556
66367125,64726889
7160576,10300168
50299616,14411968
69474240,35444986
